date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Feb%202026%2014:26:58%20GMT	http://fll-events.firstisrael.org.il/tools/scorer?lang=en	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/tools/scorer.09ed2.delayed	(from )
16:26:58	175928/175928	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2014:26:59%20GMT	https://fll-events.firstisrael.org.il/tools/scorer?lang=en	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/tools/scorer9ed2.html	(from )
16:26:59	633/633	---MCZ	200	added ('OK')	text/plain	date:Wed,%2004%20Feb%202026%2014:26:59%20GMT	https://fll-events.firstisrael.org.il/robots.txt		(from )
16:26:59	8311/8311	---MCZ	200	added ('OK')	text/css	etag:W/%222077-19c14d5c198%22	https://fll-events.firstisrael.org.il/_next/static/chunks/3391fcb4957e432d.css	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/3391fcb4957e432d.css	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:26:59	23766/23766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cd6-19c14d5c198%22	https://fll-events.firstisrael.org.il/_next/static/chunks/d20e931670e17f9e.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/d20e931670e17f9e.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:26:59	33396/33396	---MCZ	200	added ('OK')	application/javascript	etag:W/%228274-19c2771f650%22	https://fll-events.firstisrael.org.il/_next/static/chunks/79d1fd3fa7f24b40.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/79d1fd3fa7f24b40.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:00	224620/224620	---MCZ	200	added ('OK')	application/javascript	etag:W/%2236d6c-19c14d5c198%22	https://fll-events.firstisrael.org.il/_next/static/chunks/f42f5f04977fe255.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/f42f5f04977fe255.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:00	118656/118656	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cf80-19c1ac7ba98%22	https://fll-events.firstisrael.org.il/_next/static/chunks/95bdbd10f76f1d85.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/95bdbd10f76f1d85.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:00	10251/10251	---MCZ	200	added ('OK')	application/javascript	etag:W/%22280b-19c14d5c198%22	https://fll-events.firstisrael.org.il/_next/static/chunks/turbopack-32728c1e9462b44b.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/turbopack-32728c1e9462b44b.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:00	283/283	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211b-19c14d5c198%22	https://fll-events.firstisrael.org.il/_next/static/chunks/d96012bcfc98706a.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/d96012bcfc98706a.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:00	30808/30808	---MCZ	200	added ('OK')	application/javascript	etag:W/%227858-19c14d5c198%22	https://fll-events.firstisrael.org.il/_next/static/chunks/9e80aaa07d4729bb.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/9e80aaa07d4729bb.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:01	20514/20514	---MCZ	200	added ('OK')	application/javascript	etag:W/%225022-19c2771f650%22	https://fll-events.firstisrael.org.il/_next/static/chunks/9a5ae600b69db2d1.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/9a5ae600b69db2d1.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:01	50296/50296	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c478-19c2771f650%22	https://fll-events.firstisrael.org.il/_next/static/chunks/899fb391080d021d.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/899fb391080d021d.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:01	57489/57489	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e091-19c2771f650%22	https://fll-events.firstisrael.org.il/_next/static/chunks/a5760497f1442944.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/a5760497f1442944.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:01	87482/87482	---MCZ	200	added ('OK')	application/javascript	etag:W/%22155ba-19c2771f650%22	https://fll-events.firstisrael.org.il/_next/static/chunks/849fc9ec9e6d66f8.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/849fc9ec9e6d66f8.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:02	891196/891196	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d993c-19c1ac7ba98%22	https://fll-events.firstisrael.org.il/_next/static/chunks/7da525388cd7bfcc.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/7da525388cd7bfcc.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:02	81894/81894	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213fe6-19c1ac7ba98%22	https://fll-events.firstisrael.org.il/_next/static/chunks/37cbee29cc153411.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/37cbee29cc153411.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:02	40167/40167	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ce7-19c2771f650%22	https://fll-events.firstisrael.org.il/_next/static/chunks/5e50f011ad6a5ec9.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/5e50f011ad6a5ec9.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
16:27:02	576/576	---MCZ	200	added ('OK')	application/javascript	etag:W/%22240-19c14d5c198%22	https://fll-events.firstisrael.org.il/_next/static/chunks/e821ff71d21bbd06.js	C:/My%20Web%20Sites/fll%20socree/fll%20socree/fll-events.firstisrael.org.il/_next/static/chunks/e821ff71d21bbd06.js	(from https://fll-events.firstisrael.org.il/tools/scorer?lang=en)
